Year,Date,Open,High,Low,Close,Adj Close
1948,11/1/1948,16.700001,16.700001,16.700001,16.700001,16.700001
1948,12/1/1948,15.01,15.01,15.01,15.01,15.01
1949,1/3/1949,14.95,14.95,14.95,14.95,14.95
1949,2/1/1949,15.34,15.34,15.34,15.34,15.34
1949,3/1/1949,14.71,14.71,14.71,14.71,14.71
1949,4/1/1949,14.94,14.94,14.94,14.94,14.94
1949,5/2/1949,14.78,14.78,14.78,14.78,14.78
1949,6/1/1949,14.14,14.14,14.14,14.14,14.14
1949,7/1/1949,14.26,14.26,14.26,14.26,14.26
1949,8/1/1949,15.12,15.12,15.12,15.12,15.12
1949,9/1/1949,15.31,15.31,15.31,15.31,15.31
1949,10/3/1949,15.6,15.6,15.6,15.6,15.6
1949,11/1/1949,16.200001,16.200001,16.200001,16.200001,16.200001
1949,12/1/1949,16.15,16.15,16.15,16.15,16.15
1950,1/3/1950,16.66,16.66,16.66,16.66,16.66
1950,2/1/1950,17.049999,17.049999,17.049999,17.049999,17.049999
1950,3/1/1950,17.24,17.24,17.24,17.24,17.24
1950,4/3/1950,17.530001,17.530001,17.530001,17.530001,17.530001
1950,5/1/1950,18.219999,18.219999,18.219999,18.219999,18.219999
1950,6/1/1950,18.77,18.77,18.77,18.77,18.77
1950,7/3/1950,17.639999,17.639999,17.639999,17.639999,17.639999
1950,8/1/1950,18.02,18.02,18.02,18.02,18.02
1950,9/1/1950,18.549999,18.549999,18.549999,18.549999,18.549999
1950,10/2/1950,19.690001,19.690001,19.690001,19.690001,19.690001
1950,11/1/1950,19.559999,19.559999,19.559999,19.559999,19.559999
1950,12/1/1950,19.66,19.66,19.66,19.66,19.66
1951,1/2/1951,20.77,20.77,20.77,20.77,20.77
1951,2/1/1951,21.77,21.77,21.77,21.77,21.77
1951,3/1/1951,21.85,21.85,21.85,21.85,21.85
1951,4/2/1951,21.32,21.32,21.32,21.32,21.32
1951,5/1/1951,22.530001,22.530001,22.530001,22.530001,22.530001
1951,6/1/1951,21.48,21.48,21.48,21.48,21.48
1951,7/2/1951,21.1,21.1,21.1,21.1,21.1
1951,8/1/1951,22.51,22.51,22.51,22.51,22.51
1951,9/4/1951,23.280001,23.280001,23.280001,23.280001,23.280001
1951,10/1/1951,23.469999,23.469999,23.469999,23.469999,23.469999
1951,11/1/1951,23.1,23.1,23.1,23.1,23.1
1951,12/3/1951,23.01,23.01,23.01,23.01,23.01
1952,1/2/1952,23.799999,23.799999,23.799999,23.799999,23.799999
1952,2/1/1952,24.299999,24.299999,24.299999,24.299999,24.299999
1952,3/3/1952,23.290001,23.290001,23.290001,23.290001,23.290001
1952,4/1/1952,24.18,24.18,24.18,24.18,24.18
1952,5/1/1952,23.17,23.17,23.17,23.17,23.17
1952,6/2/1952,23.799999,23.799999,23.799999,23.799999,23.799999
1952,7/1/1952,25.120001,25.120001,25.120001,25.120001,25.120001
1952,8/1/1952,25.450001,25.450001,25.450001,25.450001,25.450001
1952,9/2/1952,25.15,25.15,25.15,25.15,25.15
1952,10/1/1952,24.48,24.48,24.48,24.48,24.48
1952,11/3/1952,24.6,24.6,24.6,24.6,24.6
1952,12/1/1952,25.68,25.68,25.68,25.68,25.68
1953,1/2/1953,26.540001,26.540001,26.540001,26.540001,26.540001
1953,2/2/1953,26.51,26.51,26.51,26.51,26.51
1953,3/2/1953,25.93,25.93,25.93,25.93,25.93
1953,4/1/1953,25.25,25.25,25.25,25.25,25.25
1953,5/1/1953,24.73,24.73,24.73,24.73,24.73
1953,6/1/1953,24.15,24.15,24.15,24.15,24.15
1953,7/1/1953,24.24,24.24,24.24,24.24,24.24
1953,8/3/1953,24.84,24.84,24.84,24.84,24.84
1953,9/1/1953,23.42,23.42,23.42,23.42,23.42
1953,10/1/1953,23.49,23.49,23.49,23.49,23.49
1953,11/2/1953,24.66,24.66,24.66,24.66,24.66
1953,12/1/1953,24.780001,24.780001,24.780001,24.780001,24.780001
1954,1/4/1954,24.950001,24.950001,24.950001,24.950001,24.950001
1954,2/1/1954,25.99,25.99,25.99,25.99,25.99
1954,3/1/1954,26.25,26.25,26.25,26.25,26.25
1954,4/1/1954,27.17,27.17,27.17,27.17,27.17
1954,5/3/1954,28.209999,28.209999,28.209999,28.209999,28.209999
1954,6/1/1954,29.190001,29.190001,29.190001,29.190001,29.190001
1954,7/1/1954,29.209999,29.209999,29.209999,29.209999,29.209999
1954,8/2/1954,30.99,30.99,30.99,30.99,30.99
1954,9/1/1954,30.040001,30.040001,30.040001,30.040001,30.040001
1954,10/1/1954,32.290001,32.290001,32.290001,32.290001,32.290001
1954,11/1/1954,31.790001,31.790001,31.790001,31.790001,31.790001
1954,12/1/1954,33.990002,33.990002,33.990002,33.990002,33.990002
1955,1/3/1955,36.75,36.75,36.75,36.75,36.75
1955,2/1/1955,36.720001,36.720001,36.720001,36.720001,36.720001
1955,3/1/1955,36.830002,36.830002,36.830002,36.830002,36.830002
1955,4/1/1955,36.950001,36.950001,36.950001,36.950001,36.950001
1955,5/2/1955,38.040001,38.040001,38.040001,38.040001,38.040001
1955,6/1/1955,37.959999,37.959999,37.959999,37.959999,37.959999
1955,7/1/1955,41.189999,41.189999,41.189999,41.189999,41.189999
1955,8/1/1955,42.93,42.93,42.93,42.93,42.93
1955,9/1/1955,43.369999,43.369999,43.369999,43.369999,43.369999
1955,10/3/1955,42.490002,42.490002,42.490002,42.490002,42.490002
1955,11/1/1955,42.279999,42.279999,42.279999,42.279999,42.279999
1955,12/1/1955,45.349998,45.349998,45.349998,45.349998,45.349998
1956,1/3/1956,45.16,45.16,45.16,45.16,45.16
1956,2/1/1956,44.029999,44.029999,44.029999,44.029999,44.029999
1956,3/1/1956,45.540001,45.540001,45.540001,45.540001,45.540001
1956,4/2/1956,48.700001,48.700001,48.700001,48.700001,48.700001
1956,5/1/1956,48.16,48.16,48.16,48.16,48.16
1956,6/1/1956,45.580002,45.580002,45.580002,45.580002,45.580002
1956,7/2/1956,46.93,46.93,46.93,46.93,46.93
1956,8/1/1956,49.619999,49.619999,49.619999,49.619999,49.619999
1956,9/4/1956,47.889999,47.889999,47.889999,47.889999,47.889999
1956,10/1/1956,44.700001,44.700001,44.700001,44.700001,44.700001
1956,11/1/1956,46.52,46.52,46.52,46.52,46.52
1956,12/3/1956,45.98,45.98,45.98,45.98,45.98
1957,1/2/1957,46.200001,46.200001,46.200001,46.200001,46.200001
1957,2/1/1957,44.619999,44.619999,44.619999,44.619999,44.619999
1957,3/1/1957,43.740002,43.740002,43.740002,43.740002,43.740002
1957,4/1/1957,44.139999,44.139999,44.139999,44.139999,44.139999
1957,5/1/1957,46.02,46.02,46.02,46.02,46.02
1957,6/3/1957,47.369999,47.369999,47.369999,47.369999,47.369999
1957,7/1/1957,47.43,47.43,47.43,47.43,47.43
1957,8/1/1957,47.790001,47.790001,47.790001,47.790001,47.790001
1957,9/3/1957,45.439999,45.439999,45.439999,45.439999,45.439999
1957,10/1/1957,42.759998,42.759998,42.759998,42.759998,42.759998
1957,11/1/1957,40.439999,40.439999,40.439999,40.439999,40.439999
1957,12/2/1957,41.360001,41.360001,41.360001,41.360001,41.360001
1958,1/2/1958,40.330002,40.330002,40.330002,40.330002,40.330002
1958,2/3/1958,42.040001,42.040001,42.040001,42.040001,42.040001
1958,3/3/1958,41.130001,41.130001,41.130001,41.130001,41.130001
1958,4/1/1958,41.93,41.93,41.93,41.93,41.93
1958,5/1/1958,43.540001,43.540001,43.540001,43.540001,43.540001
1958,6/2/1958,44.310001,44.310001,44.310001,44.310001,44.310001
1958,7/1/1958,45.279999,45.279999,45.279999,45.279999,45.279999
1958,8/1/1958,47.490002,47.490002,47.490002,47.490002,47.490002
1958,9/2/1958,48,48,48,48,48
1958,10/1/1958,49.98,49.98,49.98,49.98,49.98
1958,11/3/1958,51.560001,51.560001,51.560001,51.560001,51.560001
1958,12/1/1958,52.689999,52.689999,52.689999,52.689999,52.689999
1959,1/2/1959,55.439999,55.439999,55.439999,55.439999,55.439999
1959,2/2/1959,55.209999,55.209999,55.209999,55.209999,55.209999
1959,3/2/1959,55.73,55.73,55.73,55.73,55.73
1959,4/1/1959,55.689999,55.689999,55.689999,55.689999,55.689999
1959,5/1/1959,57.650002,57.650002,57.650002,57.650002,57.650002
1959,6/1/1959,58.630001,58.630001,58.630001,58.630001,58.630001
1959,7/1/1959,58.970001,58.970001,58.970001,58.970001,58.970001
1959,8/3/1959,60.709999,60.709999,60.709999,60.709999,60.709999
1959,9/1/1959,58.869999,58.869999,58.869999,58.869999,58.869999
1959,10/1/1959,56.939999,56.939999,56.939999,56.939999,56.939999
1959,11/2/1959,57.41,57.41,57.41,57.41,57.41
1959,12/1/1959,58.700001,58.700001,58.700001,58.700001,58.700001
1960,1/4/1960,59.91,59.91,59.91,59.91,59.91
1960,2/1/1960,55.959999,55.959999,55.959999,55.959999,55.959999
1960,3/1/1960,56.009998,56.009998,56.009998,56.009998,56.009998
1960,4/1/1960,55.43,55.43,55.43,55.43,55.43
1960,5/2/1960,54.130001,54.130001,54.130001,54.130001,54.130001
1960,6/1/1960,55.889999,55.889999,55.889999,55.889999,55.889999
1960,7/1/1960,57.060001,57.060001,57.060001,57.060001,57.060001
1960,8/1/1960,55.529999,55.529999,55.529999,55.529999,55.529999
1960,9/1/1960,57.09,57.09,57.09,57.09,57.09
1960,10/3/1960,53.360001,53.360001,53.360001,53.360001,53.360001
1960,11/1/1960,53.939999,53.939999,53.939999,53.939999,53.939999
1960,12/1/1960,55.299999,55.299999,55.299999,55.299999,55.299999
1961,1/3/1961,57.57,57.57,57.57,57.57,57.57
1961,2/1/1961,61.900002,61.900002,61.900002,61.900002,61.900002
1961,3/1/1961,63.43,63.43,63.43,63.43,63.43
1961,4/3/1961,65.599998,65.599998,65.599998,65.599998,65.599998
1961,5/1/1961,65.169998,65.169998,65.169998,65.169998,65.169998
1961,6/1/1961,66.559998,66.559998,66.559998,66.559998,66.559998
1961,7/3/1961,65.209999,65.209999,65.209999,65.209999,65.209999
1961,8/1/1961,67.370003,67.370003,67.370003,67.370003,67.370003
1961,9/1/1961,68.190002,68.190002,68.190002,68.190002,68.190002
1961,10/2/1961,66.769997,66.769997,66.769997,66.769997,66.769997
1961,11/1/1961,68.730003,68.730003,68.730003,68.730003,68.730003
1961,12/1/1961,71.779999,71.779999,71.779999,71.779999,71.779999
1962,1/2/1962,71.550003,71.959999,70.709999,70.959999,70.959999
1962,2/1/1962,68.839996,69.650002,68.559998,69.260002,69.260002
1962,3/1/1962,69.959999,70.599998,69.760002,70.199997,70.199997
1962,4/2/1962,69.550003,69.82,69.129997,69.370003,69.370003
1962,5/1/1962,65.239998,65.940002,63.759998,65.699997,65.699997
1962,6/1/1962,59.630001,59.959999,58.52,59.380001,59.380001
1962,7/2/1962,54.75,56.02,54.470001,55.860001,55.860001
1962,8/1/1962,58.23,58.299999,57.509998,57.75,57.75
1962,9/4/1962,59.119999,59.490002,58.439999,58.560001,58.560001
1962,10/1/1962,56.27,56.310001,55.259998,55.490002,55.490002
1962,11/1/1962,56.52,57.310001,55.900002,57.119999,57.119999
1962,12/3/1962,62.259998,62.450001,61.279999,61.939999,61.939999
1963,1/2/1963,63.099998,63.389999,62.32,62.689999,62.689999
1963,2/1/1963,66.309998,66.309998,66.309998,66.309998,66.309998
1963,3/1/1963,64.290001,64.75,63.799999,64.099998,64.099998
1963,4/1/1963,66.57,67.18,66.230003,66.849998,66.849998
1963,5/1/1963,69.800003,70.43,69.610001,69.970001,69.970001
1963,6/3/1963,70.800003,71.239998,70.389999,70.690002,70.690002
1963,7/1/1963,69.370003,69.529999,68.580002,68.860001,68.860001
1963,8/1/1963,69.129997,69.470001,68.639999,69.07,69.07
1963,9/3/1963,72.5,73.089996,72.300003,72.660004,72.660004
1963,10/1/1963,71.699997,72.650002,71.57,72.220001,72.220001
1963,11/1/1963,74.010002,74.440002,73.470001,73.830002,73.830002
1963,12/2/1963,73.230003,74.080002,73.019997,73.660004,73.660004
1964,1/2/1964,75.019997,75.790001,74.82,75.43,75.43
1964,2/3/1964,77.040001,77.550003,76.529999,76.970001,76.970001
1964,3/2/1964,77.800003,78.379997,77.5,77.970001,77.970001
1964,4/1/1964,78.980003,79.580002,78.669998,79.239998,79.239998
1964,5/1/1964,79.459999,80.470001,79.459999,80.169998,80.169998
1964,6/1/1964,80.370003,80.830002,79.830002,80.110001,80.110001
1964,7/1/1964,81.690002,82.510002,81.459999,82.269997,82.269997
1964,8/3/1964,83.18,83.489998,82.650002,83,83
1964,9/1/1964,81.830002,82.5,81.57,82.18,82.18
1964,10/1/1964,84.18,84.529999,83.739998,84.080002,84.080002
1964,11/2/1964,84.860001,85.540001,84.510002,85.18,85.18
1964,12/1/1964,84.419998,84.559998,83.360001,83.550003,83.550003
1965,1/4/1965,84.75,85.150002,83.769997,84.230003,84.230003
1965,2/1/1965,87.559998,88.010002,87.050003,87.580002,87.580002
1965,3/1/1965,87.43,87.93,86.919998,87.25,87.25
1965,4/1/1965,86.160004,86.730003,85.870003,86.32,86.32
1965,5/3/1965,89.110001,89.68,88.620003,89.230003,89.230003
